source,indicator_code,indicator_name,unit,country,year,value
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,1997,0.019312269
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,1998,0.019130121
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,1999,0.025285494
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2000,0.0295799320661765
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2001,0.04953121223398
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2002,0.103783791079435
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2003,0.142534824036552
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2004,0.196418976046369
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2005,0.27129940081198
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2006,0.448285852912208
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2007,0.514578241519701
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2008,0.759210538252597
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2009,1.03164871502753
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2010,1.21164199479353
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2011,2.51643773692417
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2012,7.48356366415727
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2013,13.5933519472846
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2014,57.2778336231227
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2015,80.2397229653255
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2016,98.2342601991436
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2017,92.3917955157784
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2018,116.972136284863
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2019,155.669416939698
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2020,148.158208114821
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2021,127.240645128106
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2022,107.535089476237
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2023,121.027626770248
World Bank WDI/WGI CSV download,IT.CEL.SETS.P2,Mobile cellular subscriptions,per 100 people,MMR,2024,114.329042129489
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2005,0.000512243623910731
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2006,0.00828918867760863
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2007,0.0134358321508409
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2008,0.020654755544097
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2009,0.0477595166128622
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2010,0.0468134407079318
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2011,0.0443101573417305
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2015,0.0644384582091319
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2016,0.174162128034933
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2017,0.214986286331048
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2018,0.246880529164931
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2019,0.92296052297012
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2020,1.29924592186564
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2021,1.67276170937317
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2022,2.09694638185872
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2023,2.79829802446154
World Bank Indicators API,IT.NET.BBND.P2,Fixed broadband subscriptions,per 100 people,MMR,2024,2.86965759378273
World Bank Indicators API,IT.NET.SECR.P6,Secure internet servers,per 1 million people,MMR,2010,0.0203980133803624
World Bank Indicators API,IT.NET.SECR.P6,Secure internet servers,per 1 million people,MMR,2011,0.0202347964844874
World Bank Indicators API,IT.NET.SECR.P6,Secure internet servers,per 1 million people,MMR,2012,0.10032616839956
World Bank Indicators API,IT.NET.SECR.P6,Secure internet servers,per 1 million people,MMR,2013,0.179059372466932
