"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1979","10.2114167420344","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1980","9.61174895435775","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1981","9.9277052238806","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1982","9.83102245487561","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1983","9.23669818868891","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1984","8.58443574407767","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1985","8.25519326447815","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1986","7.41173670242276","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1987","6.3655418074506","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1988","4.49352671473442","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1989","4.26178737654007","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1990","6.19778414572987","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1991","5.61020629285277","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1992","5.03739654451358","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1993","4.72801035299943","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1994","4.25171345046186","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1995","3.74448720005159","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1996","3.9593171544736","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1997","4.41523918074799","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1998","3.51930951883989","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","1999","2.75274845684649","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2000","2.96650745818451","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2001","2.25714041101971","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2002","2.0010471703619","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2003","2.21041186420545","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2004","3.27245665609108","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2005","3.88177835640941","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2012","4.52409369741194","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2013","5.52956758874506","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2014","5.84092892509683","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2015","6.01128503979227","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2016","7.17585983640205","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2017","6.07774232896579","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2018","2.75697125272766","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.TAX.TOTL.GD.ZS","Tax revenue","2019","6.01765247726484","percent of GDP","international_observation","World Bank WDI API"
"MMR","GC.XPN.INTP.ZS","Government interest payments","2012","12.6227645525108","percent of expense","international_observation","World Bank WDI API"
